"time","der_p","der_T"
0,0.0000000000000000E+000,0.0000000000000000E+000
1,1.2518617826184334E+003,1.5461228566169525E+000
2,1.2502632368640272E+003,1.5192878576819377E+000
3,1.2487083215575822E+003,1.4931482154305655E+000
4,1.2471954841678948E+003,1.4676794985353867E+000
5,1.2457243048225375E+003,1.4428647581915746E+000
6,1.2442928199060914E+003,1.4186784268827159E+000
7,1.2429007404270994E+003,1.3951058276926298E+000
8,1.2415465388740968E+003,1.3721252969834670E+000
9,1.2402261085185801E+003,1.3496995336536965E+000
10,1.2389412991424110E+003,1.3278287562196804E+000
11,1.2376914034438216E+003,1.3064979494144222E+000
12,1.2364757246237639E+003,1.2856926748090800E+000
13,1.2352913565402528E+003,1.2653848238072154E+000
14,1.2341357249602818E+003,1.2455485386044953E+000
15,1.2330105184985409E+003,1.2261857234797298E+000
16,1.2319151408312600E+003,1.2072841482642847E+000
17,1.2308490054669167E+003,1.1888320308174003E+000
18,1.2298081662794530E+003,1.1707958474862881E+000
19,1.2287925270061924E+003,1.1531673977578611E+000
20,1.2278028078358736E+003,1.1359443048684181E+000
21,1.2268385118693077E+003,1.1191165422679152E+000
22,1.2258991508182398E+003,1.1026744348397808E+000
23,1.2249807816018097E+003,1.0865852179211402E+000
24,1.2240846375941128E+003,1.0708511078978926E+000
25,1.2232102779578033E+003,1.0554633662651964E+000
