"time","Out1"
0,0.0000000000000000E+000
0.02,1.9998666693333080E-002
0.04,3.9989334186634161E-002
0.06,5.9964006479444595E-002
0.08,7.9914693969172695E-002
0.1,9.9833416646828155E-002
0.12,1.1971220728891936E-001
0.14,1.3954311464423649E-001
0.16,1.5931820661424598E-001
0.18,1.7902957342582418E-001
0.2,1.9866933079506122E-001
0.22,2.1822962308086932E-001
0.24,2.3770262642713458E-001
0.26,2.5708055189215512E-001
0.28,2.7635564856411376E-001
0.3,2.9552020666133955E-001
0.32,3.1456656061611776E-001
0.34,3.3348709214081440E-001
0.36,3.5227423327508994E-001
0.38,3.7092046941298268E-001
0.4,3.8941834230865052E-001
0.42,4.0776045305957015E-001
0.44,4.2593946506599961E-001
0.46,4.4394810696551978E-001
0.48,4.6177917554148284E-001
0.5,4.7942553860420301E-001
0.52,4.9688013784373675E-001
0.54,5.1413599165311319E-001
0.56,5.3118619792088340E-001
0.58,5.4802393679187356E-001
0.6,5.6464247339503537E-001
0.62,5.8103516053730508E-001
0.64,5.9719544136239211E-001
0.66,6.1311685197343380E-001
0.68,6.2879302401846859E-001
0.7,6.4421768723769113E-001
0.72,6.5938467197147310E-001
0.74,6.7428791162814505E-001
0.76,6.8892144511055131E-001
0.78,7.0327941920041015E-001
0.8,7.1735609089952279E-001
0.82,7.3114582972689590E-001
0.84,7.4464311997085930E-001
0.86,7.5784256289527696E-001
0.88,7.7073887889896930E-001
0.9,7.8332690962748341E-001
0.92,7.9560162003636603E-001
0.94,8.0755810040511433E-001
0.96,8.1919156830099826E-001
0.98,8.3049737049197048E-001
1,8.4147098480789650E-001
1.021,8.5210802194936297E-001
1.041,8.6240422724333843E-001
1.061,8.7235548234498628E-001
1.081,8.8195780688494751E-001
1.101,8.9120736006143542E-001
1.121,9.0010044217650509E-001
1.141,9.0863349611588329E-001
1.161,9.1680310877176685E-001
1.181,9.2460601240802032E-001
1.201,9.3203908596722629E-001
1.221,9.3909935631906760E-001
1.241,9.4578399944953895E-001
1.261,9.5209034159051575E-001
1.281,9.5801586028922492E-001
1.301,9.6355818541719296E-001
1.321,9.6871510011826523E-001
1.341,9.7348454169531939E-001
1.361,9.7786460243531625E-001
1.381,9.8185353037235978E-001
1.401,9.8544972998846025E-001
1.421,9.8865176285171974E-001
1.441,9.9145834819168643E-001
1.461,9.9386836341164486E-001
1.481,9.9588084453764003E-001
1.501,9.9749498660405445E-001
1.521,9.9871014397558300E-001
1.541,9.9952583060547906E-001
1.561,9.9994172022996630E-001
1.581,9.9995764649874008E-001
1.601,9.9957360304150511E-001
1.621,9.9878974347052396E-001
1.641,9.9760638131917367E-001
1.661,9.9602398991653673E-001
1.681,9.9404320219807596E-001
1.701,9.9166481045246857E-001
1.721,9.8888976600470146E-001
1.741,9.8571917883555349E-001
1.761,9.8215431713761847E-001
1.781,9.7819660680804466E-001
1.801,9.7384763087819515E-001
1.821,9.6910912888045631E-001
1.841,9.6398299615244809E-001
1.861,9.5847128307891416E-001
1.881,9.5257619427159534E-001
1.901,9.4630008768741447E-001
1.921,9.3964547368532492E-001
1.941,9.3261501402220048E-001
1.961,9.2521152078816826E-001
1.981,9.1743795528180982E-001
2.001,9.0929742682568171E-001
2.021,9.0079319152262727E-001
2.041,8.9192865095337959E-001
2.061,8.8270735081597407E-001
2.081,8.7313297950751645E-001
2.101,8.6320936664887371E-001
2.121,8.5294048155287616E-001
2.141,8.4233043163664567E-001
2.161,8.3138346077868308E-001
2.181,8.2010394762137406E-001
2.201,8.0849640381959009E-001
2.221,7.9656547223608654E-001
2.241,7.8431592508441983E-001
2.261,7.7175266202012571E-001
2.281,7.5888070818092179E-001
2.301,7.4570521217672003E-001
2.321,7.3223144403025142E-001
2.341,7.1846479306912625E-001
2.361,7.0441076577017625E-001
2.381,6.9007498355693642E-001
2.401,6.7546318055115095E-001
2.421,6.6058120127920072E-001
2.441,6.4543499833437079E-001
2.461,6.3003062999589221E-001
2.481,6.1437425780571175E-001
2.501,5.9847214410395655E-001
2.521,5.8233064952408187E-001
2.541,5.6595623044870280E-001
2.561,5.4935543642712659E-001
2.581,5.3253490755562116E-001
2.601,5.1550137182146416E-001
2.621,4.9826164241183857E-001
2.641,4.8082261498864826E-001
2.661,4.6319126493034518E-001
2.681,4.4537464454187115E-001
2.701,4.2737988023382978E-001
2.721,4.0921416967201729E-001
2.741,3.9088477889845219E-001
2.761,3.7239903942505531E-001
2.781,3.5376434530114270E-001
2.801,3.3498815015590466E-001
2.821,3.1607796421705381E-001
2.841,2.9704135130683240E-001
2.861,2.7788592581658678E-001
2.881,2.5861934966111083E-001
2.901,2.3924932921398243E-001
2.921,2.1978361222511694E-001
2.941,2.0022998472177053E-001
2.961,1.8059626789423291E-001
2.981,1.6089031496745576E-001
3.001,1.4112000805986721E-001
3.021,1.2129325503062975E-001
3.041,1.0141798631660186E-001
3.061,8.1502151760269120E-002
3.081,6.1553717429913148E-002
3.101,4.1580662433290491E-002
3.121,2.1590975726095959E-002
3.141,1.5926529164868282E-003
3.161,-1.8406306933053809E-002
3.181,-3.8397904505235378E-002
3.201,-5.8374143427580086E-002
3.221,-7.8327033470865295E-002
3.241,-9.8248593745108678E-002
3.261,-1.1813085589181781E-001
3.281,-1.3796586727122728E-001
3.301,-1.5774569414324865E-001
3.321,-1.7746242484086058E-001
3.341,-1.9710817293466984E-001
3.361,-2.1667508038737962E-001
3.381,-2.3615532069689699E-001
3.401,-2.5554110202683122E-001
3.421,-2.7482467032312402E-001
3.441,-2.9399831241556762E-001
3.461,-3.1305435910297019E-001
3.481,-3.3198518822073408E-001
3.501,-3.5078322768961984E-001
3.521,-3.6944095854447712E-001
3.541,-3.8795091794173031E-001
3.561,-4.0630570214441680E-001
3.581,-4.2449796948358259E-001
3.601,-4.4252044329485246E-001
3.621,-4.6036591482899830E-001
3.641,-4.7802724613534286E-001
3.661,-4.9549737291684492E-001
3.681,-5.1276930735572379E-001
3.701,-5.2983614090849340E-001
3.721,-5.4669104706928717E-001
3.741,-5.6332728410037003E-001
3.761,-5.7973819772874313E-001
3.781,-5.9591722380776424E-001
3.801,-6.1185789094271925E-001
3.821,-6.2755382307929364E-001
3.841,-6.4299874205390883E-001
3.861,-6.5818647010490494E-001
3.881,-6.7311093234356167E-001
3.901,-6.8776615918397377E-001
3.921,-7.0214628873080542E-001
3.941,-7.1624556912397053E-001
3.961,-7.3005836083929954E-001
3.981,-7.4357913894427463E-001
4.001,-7.5680249530792820E-001
4.021,-7.6972314076402437E-001
4.041,-7.8233590722665280E-001
4.061,-7.9463574975739737E-001
4.081,-8.0661774858324053E-001
4.101,-8.1827711106441026E-001
4.121,-8.2960917361137088E-001
4.141,-8.4060940355019453E-001
4.161,-8.5127340093557446E-001
4.181,-8.6159690031074054E-001
4.201,-8.7157577241358819E-001
4.221,-8.8120602582832530E-001
4.241,-8.9048380858198850E-001
4.261,-8.9940540968517768E-001
4.281,-9.0796726061640542E-001
4.301,-9.1616593674945490E-001
4.321,-9.2399815872318791E-001
4.341,-9.3146079375324253E-001
4.361,-9.3855085688510786E-001
4.381,-9.4526551218806332E-001
4.401,-9.5160207388951612E-001
4.421,-9.5755800744927111E-001
4.441,-9.6313093057331667E-001
4.461,-9.6831861416670717E-001
4.481,-9.7311898322517387E-001
4.501,-9.7753011766509701E-001
4.521,-9.8155025309151556E-001
4.541,-9.8517778150385948E-001
4.561,-9.8841125193913060E-001
4.581,-9.9124937105226696E-001
4.601,-9.9369100363346452E-001
4.621,-9.9573517306224535E-001
4.641,-9.9738106169809326E-001
4.661,-9.9862801120749889E-001
4.681,-9.9947552282728402E-001
4.701,-9.9992325756410083E-001
4.721,-9.9997103633002449E-001
4.741,-9.9961884001418544E-001
4.761,-9.9886680949041418E-001
4.781,-9.9771524556089330E-001
4.801,-9.9616460883584068E-001
4.821,-9.9421551954927134E-001
4.841,-9.9186875731091262E-001
4.861,-9.8912526079436980E-001
4.881,-9.8598612736167035E-001
4.901,-9.8245261262433248E-001
4.921,-9.7852612994113852E-001
4.941,-9.7420824985280907E-001
4.961,-9.6950069945380879E-001
4.981,-9.6440536170153046E-001
5,-9.5892427466313845E-001
5.02,-9.5305963070036748E-001
5.04,-9.4681377559260893E-001
5.06,-9.4018920759862834E-001
5.08,-9.3318857645729758E-001
5.1,-9.2581468232773212E-001
5.12,-9.1807047466926694E-001
5.14,-9.0995905106171060E-001
5.16,-9.0148365596635482E-001
5.18,-8.9264767942823464E-001
5.2,-8.8345465572015314E-001
5.22,-8.7390826192902238E-001
5.24,-8.6401231648507437E-001
5.26,-8.5377077763454334E-001
5.28,-8.4318774185641665E-001
5.3,-8.3226744222390125E-001
5.32,-8.2101424671124701E-001
5.34,-8.0943265644661944E-001
5.36,-7.9752730391170434E-001
5.38,-7.8530295108878057E-001
5.4,-7.7276448755598715E-001
5.42,-7.5991692853156101E-001
5.44,-7.4676541286781228E-001
5.46,-7.3331520099565650E-001
5.48,-7.1957167282050749E-001
5.5,-7.0554032557039192E-001
5.52,-6.9122677159712642E-001
5.54,-6.7663673613145692E-001
5.56,-6.6177605499303693E-001
5.58,-6.4665067225618345E-001
5.6,-6.3126663787232085E-001
5.62,-6.1563010525008632E-001
5.64,-5.9974732879404380E-001
5.66,-5.8362466140300728E-001
5.68,-5.6726855192896863E-001
5.7,-5.5068554259763758E-001
5.72,-5.3388226639164427E-001
5.74,-5.1686544439742876E-001
5.76,-4.9964188311690244E-001
5.78,-4.8221847174493154E-001
5.8,-4.6460217941375737E-001
5.82,-4.4680005240543003E-001
5.84,-4.2881921133339590E-001
5.86,-4.1066684829434086E-001
5.88,-3.9235022399145386E-001
5.9,-3.7387666483023602E-001
5.92,-3.5525355998804264E-001
5.94,-3.3648835845850422E-001
5.96,-3.1758856607203484E-001
5.98,-2.9856174249359357E-001
6,-2.7941549819892586E-001
6.02,-2.6015749143046807E-001
6.04,-2.4079542513415919E-001
6.06,-2.2133704387835867E-001
6.08,-2.0179013075612889E-001
6.1,-1.8216250427209502E-001
6.12,-1.6246201521515419E-001
6.14,-1.4269654351825772E-001
6.16,-1.2287399510655005E-001
6.18,-1.0300229873509785E-001
6.2,-8.3089402817496397E-002
6.22,-6.3143272246612772E-002
6.24,-4.3171885208728680E-002
6.26,-2.3183229992379449E-002
6.28,-3.1853017931379904E-003
6.3,1.6813900484349713E-002
6.32,3.6806377425826917E-002
6.34,5.6784132307078052E-002
6.36,7.6739174292518919E-002
6.38,9.6663521631417240E-002
6.4,1.1654920485049364E-001
6.42,1.3638826994159764E-001
6.44,1.5617278154321190E-001
6.46,1.7589482611448401E-001
6.48,1.9554651510054424E-001
6.5,2.1511998808781552E-001
6.52,2.3460741594808079E-001
6.54,2.5400100397002312E-001
6.56,2.7329299497701326E-001
6.58,2.9247567242986972E-001
6.6,3.1154136351337869E-001
6.62,3.3048244220531092E-001
6.64,3.4929133232673570E-001
6.66,3.6796051057238466E-001
6.68,3.8648250951987934E-001
6.7,4.0484992061659830E-001
6.72,4.2305539714299684E-001
6.74,4.4109165715120235E-001
6.76,4.5895148637769029E-001
6.78,4.7662774112889950E-001
6.8,4.9411335113860816E-001
6.82,5.1140132239595237E-001
6.84,5.2848473994293077E-001
6.86,5.4535677064030197E-001
6.88,5.6201066590074300E-001
6.9,5.7843976438820022E-001
6.92,5.9463749468232863E-001
6.94,6.1059737790697910E-001
6.96,6.2631303032165586E-001
6.98,6.4177816587493375E-001
7,6.5698659871878906E-001
7.02,6.7193224568286214E-001
7.04,6.8660912870763846E-001
7.06,7.0101137723559870E-001
7.08,7.1513323055935785E-001
7.1,7.2896904012587649E-001
7.12,7.4251327179580173E-001
7.14,7.5576050805705430E-001
7.16,7.6870545019175585E-001
7.18,7.8134292039565001E-001
7.2,7.9366786384915311E-001
7.22,8.0567535073921326E-001
7.24,8.1736057823117292E-001
7.26,8.2871887238983533E-001
7.28,8.3974569004897992E-001
7.3,8.5043662062856440E-001
7.32,8.6078738789890175E-001
7.34,8.7079385169109114E-001
7.36,8.8045200955303438E-001
7.38,8.8975799835035962E-001
7.4,8.9870809581162692E-001
7.42,9.0729872201718398E-001
7.44,9.1552644083108958E-001
7.46,9.2338796127551892E-001
7.48,9.3088013884711363E-001
7.5,9.3799997677473890E-001
7.52,9.4474462721815411E-001
7.54,9.5111139240710896E-001
7.56,9.5709772572041729E-001
7.58,9.6270123270457009E-001
7.6,9.6791967203148654E-001
7.62,9.7275095639501374E-001
7.64,9.7719315334582302E-001
7.66,9.8124448606436210E-001
7.68,9.8490333407156083E-001
7.7,9.8816823387700037E-001
7.72,9.9103787956428979E-001
7.74,9.9351112331341584E-001
7.76,9.9558697585985478E-001
7.78,9.9726460689026586E-001
7.8,9.9854334537460498E-001
7.82,9.9942267983452793E-001
7.84,9.9990225854797521E-001
7.86,9.9998188968985557E-001
7.88,9.9966154140877417E-001
7.9,9.9894134183977201E-001
7.92,9.9782157905307434E-001
7.94,9.9630270093886564E-001
7.96,9.9438531502814043E-001
7.98,9.9207018824969795E-001
8,9.8935824662338179E-001
8.02,9.8625057488968371E-001
8.04,9.8274841607586183E-001
8.06,9.7885317099874736E-001
8.08,9.7456639770443498E-001
8.1,9.6988981084508630E-001
8.12,9.6482528099309084E-001
8.14,9.5937483389286415E-001
8.16,9.5354064965057428E-001
8.18,9.4732506186212995E-001
8.2,9.4073055667977312E-001
8.22,9.3375977181765069E-001
8.24,9.2641549549676616E-001
8.26,9.1870066532972472E-001
8.28,9.1061836714573041E-001
8.3,9.0217183375629328E-001
8.32,8.9336444366215195E-001
8.34,8.8419971970191269E-001
8.36,8.7468132764296525E-001
8.38,8.6481307471522184E-001
8.4,8.5459890808828054E-001
8.42,8.4404291329260406E-001
8.44,8.3314931258536595E-001
8.46,8.2192246326160223E-001
8.48,8.1036685591135482E-001
8.5,7.9848711262349026E-001
8.52,7.8628798513692921E-001
8.54,7.7377435294001229E-001
8.56,7.6095122131877435E-001
8.58,7.4782371935488978E-001
8.6,7.3439709787411334E-001
8.62,7.2067672734601684E-001
8.64,7.0666809573587797E-001
8.66,6.9237680630956044E-001
8.68,6.7780857539228667E-001
8.7,6.6296923008218200E-001
8.72,6.4786470591951761E-001
8.74,6.3250104451256628E-001
8.76,6.1688439112104476E-001
8.78,6.0102099219809035E-001
8.8,5.8491719289176169E-001
8.82,5.6857943450706960E-001
8.84,5.5201425192953291E-001
8.86,5.3522827101131620E-001
8.88,5.1822820592097518E-001
8.9,5.0102085645788463E-001
8.92,4.8361310533239998E-001
8.94,4.6601191541287112E-001
8.96,4.4822432694058489E-001
8.98,4.3025745471376869E-001
9,4.1211848524175659E-001
9.02,3.9381467387048763E-001
9.04,3.7535334188046110E-001
9.06,3.5674187355832859E-001
9.08,3.3798771324326760E-001
9.1,3.1909836234935213E-001
9.12,3.0008137636508325E-001
9.14,2.8094436183130178E-001
9.16,2.6169497329866259E-001
9.18,2.4234091026592378E-001
9.2,2.2288991410024592E-001
9.22,2.0334976494075557E-001
9.24,1.8372827858658300E-001
9.26,1.6403330337065350E-001
9.28,1.4427271702045727E-001
9.3,1.2445442350706171E-001
9.32,1.0458634988363526E-001
9.34,8.4676443114721417E-002
9.36,6.4732666897565891E-002
9.38,4.4762998476740277E-002
9.4,2.4775425453357765E-002
9.42,4.7779425901285115E-003
9.44,-1.5221451386431743E-002
9.46,-3.5214756985389180E-002
9.48,-5.5193977151074512E-002
9.5,-7.5151120461809301E-002
9.52,-9.5078204326360952E-002
9.54,-1.1496725817687631E-001
9.56,-1.3481032665699549E-001
9.58,-1.5459947280389894E-001
9.6,-1.7432678122297965E-001
9.62,-1.9398436125389898E-001
9.64,-2.1356435012673869E-001
9.66,-2.3305891610701440E-001
9.68,-2.5246026162825808E-001
9.7,-2.7176062641094417E-001
9.72,-2.9095229056649080E-001
9.74,-3.1002757768512301E-001
9.76,-3.2897885790632714E-001
9.78,-3.4779855097069501E-001
9.8,-3.6647912925192838E-001
9.821,-3.8501312076778266E-001
9.841,-4.0339311216876961E-001
9.861,-4.2161175170339216E-001
9.881,-4.3966175215875003E-001
9.901,-4.5753589377532133E-001
9.921,-4.7522702713477982E-001
9.941,-4.9272807601966023E-001
9.961,-5.1003204024375437E-001
9.981,-5.2713199845208603E-001
10.001,-5.4402111088936977E-001
